"search_keyword_en","search_keyword_tc","image_url","author_en","author_tc","author_sc","author_url"
"Input/Output Device","輸入輸出裝置"
"MiniDisc Recorder","迷你光碟錄音機"
"Double Cassette Deck","雙卡式錄音機"
"CD Writer","光碟機"
"Digital Video Card","數碼顯示卡"
"Memory Card","記憶體"
"Adapter","適配器"
"DVD Writer","光碟燒錄機"
"Weather Measuring Station","氣象測量器"
"Cylinder Stand With L Bracket","氣瓶架連L型支架"
"Fluorescent Lantern","螢光燈"
"Tripod With Platform","三腳架連平台"
"Double Cassette Recorder","雙卡式錄音機"
"High Resolution Visual Presentor","高像度實物投影機"
"Wireless Clip Microphone","無線夾式麥克風"
"Media Streaming Device","流媒體裝置"
"Portable DVD Burner","便擕式燒碟機"
"Cassette Bank","直立式紙張夾架"
"Auto Reverse Document Feeder","自動文檔送紙器"
"Digital Photocopier","數碼影印機"
"Double Ended Polisher","雙頭抛光機"
"Double Ended Grinding Machine","雙頭磨機"
"Woodturning Lathe","木工車床"
"Wood Planing and Thicknessing Machine","木工刨機"
"Vertical Bandsaw","垂直運帶鋸"
"Sharpedge Machine","金屬磨機"
"Drilling Machine","鑽床"
"Lathe Machine","車床"
"Laser Engraving & Cutting Machine with Accessories","雷射切割機連配件"
"Transceiver","收發器"
"Mobile Phone with Battery and Charger","手提電話連電池和充電器"
"Time Recorder","打咭鐘"
"Dissolved Oxygen Meter","溶解氧測定儀"
"Environmental Meter","環境比較器"
"Colorimeter","比色計"
"Carrying Handle for Environmental Meter","環境比較器手柄"
"Thermistor Probe","熱敏電阻探頭"
"Light Probe","光照探計"
"Microscope with Video Output","顯微鏡連視訊輸出"
"Video Camera","視頻相機"
"Triple Beam Balance","三樑秤"
"Low Voltage Power Supply","低壓電源供應器"
"Multimeter","萬用計"
"Polarimeter","旋光器"
"Spectroscope","分光鏡"
"Datalogger","數據記錄儀"
"Ultrasonic Bath Cleaner","超聲波清洗糟"
"Ammeter","安培電流表"
"Advanced Motion Measurement Kit","高階運動測量套件"
"Digital Counting Balance","數碼計數秤"
"Frequency Counter","頻率計數器"
"Demonstration Meter without Scale","不帶刻度展示儀"
"750 Interface for Datalogger","750數據記錄儀介面"
"Electroscope","驗電器"
"Extra High Voltage Power Supply","超高壓電源供應器"
"Flywheel","飛輪"
"Sweep Generator","掃描產生器"
"Signal Generator and Amplifier","信號發生器及功率放大器"
"Potentiometer","電位計"
"Power Supply","雙軌電源供應器"
"Resistance Box","電阻盒"
"Portable Video Camera","便攜式視頻相機"
"Optical Bench","光學試驗台"
"Badminton Stand","羽毛球柱"
"Dumbell Rack","啞鈴架"
"Black and White Photo Enlarger with 2 Lenses","黑白相片放大機連兩支鏡頭"
"Black and White Photo Enlarger","黑白相片放大機"
"1 to 1 Contact Photo Printer","1比1接觸式印相機"
"Film Dryer","菲林烘乾機"
"Film Drying Cabinet","菲林烘乾箱"
"Stirrer","攪拌器"
"Dust-free Exhaust Fan","無塵抽風機"
"Laboratory Glass Test Tube","實驗室玻璃試管"
"Black and White Photo Print Processor","黑白照片打印器"
"HP LaserJet 76A","空碳粉匣"
"HP LaserJet CF276X","空碳粉匣"
"HP LaserJet CF280X","空碳粉匣"
"Lexmark 503HE","空碳粉匣"
"FUJI Xerox CT201664","空碳粉匣"
"FUJI Xerox CT201665","空碳粉匣"
"FUJI Xerox CT201666","空碳粉匣"
"FUJI Xerox CT201667","空碳粉匣"
"FUJI Xerox CT350483","空碳粉匣"
"FUJI Xerox CT350484","空碳粉匣"
"FUJI Xerox CT350485","空碳粉匣"
"FUJI Xerox CT350486","空碳粉匣"
"FUJI Xerox CT201938","空碳粉匣"
"FUJI Xerox CWAA0762","空碳粉匣"
"Digital Audio Video Player","數碼影音播放器"
"Aluminum Alloy Tent","鋁合金架帳篷"
"LED Full Color Display Panel with Metal Waterproof Case * Non-REE Item","液晶體顯示屏連金屬防水裝置"
"Stage Lifting Rail System","舞台升降橫杆系統"
"Booklet Maker","小冊子釘摺機"
"Etching Presses","版畫機"
"Wireless Transmitter with Neck Microphone","無線發射器連頸掛式麥克風"
"Receiver","接收器"
"Digital Light Processing","數碼光學投影機"
"Bell Timer","報時裝置"
"Mini HiFi System","迷你音響組合"
"Alarm Collector Box","警報收集器"
"Battery Distribution Unit","電源分配單位"
"Private Automatic Branch Exchange","用戶自動交換機"
"Overhead Projector","投影器"
"Slide Projector","幻燈片投影器"
"Zoom Lens","變焦鏡頭"
"Lens Hood","鏡頭遮光罩"
"Flash for Camera","相機閃光燈"
"Global Positioning System Navigator","衛星定位器"
"Soldering Station","焊台"
"Hand Dryer","乾手機"
"Spotlight","聚光燈"
"Wet and Dry Vacuum Cleaner","乾濕兩用吸塵器"
"Kyocera TK-8510K","空碳粉匣"
"Kyocera TK-8510Y","空碳粉匣"
"Kyocera TK-8510M","空碳粉匣"
"Kyocera TK-8510C","空碳粉匣"
"Kyocera TK-8807K","空碳粉匣"
"Kyocera TK-8807Y","空碳粉匣"
"Kyocera TK-8807M","空碳粉匣"
"Kyocera TK-8807C","空碳粉匣"
"HP CE505AC","空碳粉匣"
"Samsung MLT-D205E","空碳粉匣"
"HP Q2612A","空碳粉匣"
"HP Q7553X","空碳粉匣"
"Bass Trombone","長號"
"Baritone","上低音號"
"Euphonium","粗管上低音號"
"Bass Tuba","低音大號"
"Bass Drum Stand","大鼓架"
"Crash Cymbal Stand","對鈸架"
"Cymbal Stand","吊鈸架"
"Drum Pad Stand","鼓皮架"
"Celesta Stand","鋼片琴架"
"Gong Mallet","大鑼鎚"
"Cymbal Boom Stand","吊鈸架"
"Timpani Stand","定音鼓架"
"Timpani Mallet","定音鼓棍"
"1/4"" Triangle Striker","三角鐵棍"
"3/16"" Triangle Striker","三角鐵棍"
"Concert Bass Drum 16"" x 36""","大鼓"
"Bongo Drum","邦戈鼓"
"Castanets","響板"
"Tambourine 10""","搖鼓"
"Temple Block Stand","木魚架"
"Timpani 26""","26吋定音鼓"
"Triangle 10""","10吋三角鐵"
"Triangle 4""","4吋三角鐵"
"Triangle 6""","6吋三角鐵"
"Triangle 8""","8吋三角鐵"
"Tri-tom Drum with Carrying Holder","步操用筒鼓"
"Wood Block","木魚"
"Xylophone","木琴"
"Wind Chime Stand","風鈐架"
"Concert Bass Drum Mallet","大鼓棍"
"Concert Bass Drum Stand","大鼓架"
"Glockenspiel Stand","鐵片琴架"
"Xylophone Case","木片琴盒"
"Synthesizer","電子琴"
"Synthesizer Stand","電子琴架"
"Tenor Saxphone case","次中音薩克管盒"
"French Horn","圓號"
"Baritone Saxophone Case","上低音薩克管盒"
"Huapengu","花盆鼓"
"Sheng","笙"
"Yangqin Case","揚琴盒"
"Daluo","大鑼"
"Gu Cheng","古箏"
"Gu Cheng Stand","古箏架"
"Huapengu Stand","花盆鼓架"
"Dagu Stand","中國大鼓架"
"Yunluo Stand","雲鑼架"
"Bianzhong Stand","編鐘架"
"Paigu","排鼓"
"Drum with Stand","五音鼓連架"
"Paigu Stand","排鼓架"
"Gu Cheng Case","古箏盒"
"Double Bass Bow","低音大提琴弓"
"Cello Bow","大拉琴弓"
"Gaohu Case","高胡琴盒"
"Mobile Phone","手機"
"Gold Tie-Pin with Jade and Diamonds","舊金領帶夾連翡翠鑽石"
"Gold Finger-Ring with Jade and Diamonds","舊金戒指連翡翠鑽石"
"Bar Fridge","雪櫃"
"Furniture","家具"
"Belt","尼龍腰帶"
"Flashlight","電筒"
"Handheld Metal Detector","手提式金屬探測器"
"Audio Equipment","音響設備"
"Barbecue Supplies","燒烤用具"
"Pan","鍋"
"Decorations","裝飾品"
"Hitching Post Stone","拴馬柱"
"Tea Table","茶檯"
"Dumbbell","啞鈴"
"Digital Multifunctions Therapy Apparatus","數碼多功能治療儀"
"Power Transformer","電源變壓器"
"Wooden Chair","木椅子"
"Digital Video Disc Writer","數碼影像光碟燒碟機"
"Used 40' Container No.: CRLU1171647","舊四十呎貨櫃"
"Used 40' Container No.: GESU9076803","舊四十呎貨櫃"
"Used 40' Container No.: HDMU5503020","舊四十呎貨櫃"
"Double-door Refrigerator","雙門雪櫃"
"Electric Water Pot","電熱水煲"
"Electric Fan","風扇"
"Hair Straightener","直髮夾"
"Burner","爐頭"
"Cooker","煮食爐"
"Electric Pot","電水壺"
"Electric Hospital Bed","電動病床"
"Cabinet","地櫃"
"Jade embedded with golden colour metal Pendant","金色玉石吊墜"
"Jade embedded with golden colour metal Bracelet","金色玉石手鏈"
"Jade embedded with golden colour metal Earrings","金色玉石耳環"
"Golden colour metal Coin","金色錢幣"
"Electric Cookware","煮食爐"
"Brother TN-348BK","空碳粉匣"
"Brother TN-348C","空碳粉匣"
"Brother TN-348M","空碳粉匣"
"Brother TN-348Y","空碳粉匣"
"Fuji Xerox CT202610","空碳粉匣"
"Fuji Xerox CT202607","空碳粉匣"
"Fuji Xerox CT202608","空碳粉匣"
"Fuji Xerox CT202609","空碳粉匣"
"Fuji Xerox CT202611","空碳粉匣"
"Fuji Xerox CT202612","空碳粉匣"
"Fuji Xerox CT202613","空碳粉匣"
"HP C3102A","空碳粉匣"
"HP C3103A","空碳粉匣"
"HP C3104A","空碳粉匣"
"HP C3105A","空碳粉匣"
"HP C4092A","空碳粉匣"
"HP C9730AC","空碳粉匣"
"HP C9731AC","空碳粉匣"
"HP CC531AC","空碳粉匣"
"HP CC532AC","空碳粉匣"
"HP CC533AC","空碳粉匣"
"HP Q5949X","空碳粉匣"
"HP W2040A","空碳粉匣"
"HP W2040XC","空碳粉匣"
"HP W2041A","空碳粉匣"
"HP W2041XC","空碳粉匣"
"HP W2042A","空碳粉匣"
"HP W2042XC","空碳粉匣"
"HP W2043A","空碳粉匣"
"HP W2043XC","空碳粉匣"
"Konica Minolta TN328K","空碳粉匣"
"Kyocera TK-174","空碳粉匣"
"Kyocera TK-5144C","空碳粉匣"
"Kyocera TK-5144K","空碳粉匣"
"Kyocera TK-5144M","空碳粉匣"
"Kyocera TK-5144Y","空碳粉匣"
"Kyocera TK-6329","空碳粉匣"
"Kyocera TK-7109","空碳粉匣"
"Ricoh C820DNS 821051","空碳粉匣"
"Typing Chair","打字椅"
"Display Stand","展示牌"
"Assembled Rack","組合架"
"Cabinet","文件櫃"
"Video Home System Recorder","錄影機"
"First Floor Ladder","6.5米鋁合金二樓梯"
"Double Extension Ladder","5米鋁合金雙扯梯"
"4 Section Ladder","3.7米鋁合金四節梯"
"First Floor Ladder","5米鋁合金二樓梯"
"Fleet No. F413","泵車"
"Fleet No. F215","細搶救車"
"Fleet No. F192","油壓升降台"
"Fleet No. F407","泵車"
"Fleet No. F61","司落高消防車"
"Mobile Air-Conditioner","流動冷氣機"
"Microfilm Reader","縮微膠卷閱讀機"
"Hard Disk","外置式儲存媒體"
"Drive","外置光碟機"
"Drive","USB閃存盤"
"Regulator","單拍調壓器"
"Regulator","雙拍調壓器"
"Optical Sensor","光學傳感器"
"MiniDisc Recorder / Player","微型光碟錄音機/播放器"
"High Speed Printer Duplicator","高速複印機"
"Pallet Truck","唧車"
"Mobile Air Conditioner","移動冷氣機"
"Punching & Binding Machine","打孔及裝訂機"
"Projector","放映機"
"Partition Panel Screen","間隔板"
"Rice Boiler","電飯煲"
"Sign Panel for Retractable Barrier 12""x 10""","不銹鋼欄杆標誌板"
"Stand Barricade with Retractable Tape","不銹鋼欄杆連伸縮帶"
"Oil Heater","暖爐"
"Wooden Bookshelf with Glass Door","木書架連玻璃門"
"Round Meeting Table","圓形會議枱"
"Directorate Office Desk","首長級辦公室書枱"
"Oval Meeting Table","橢圓形會議枱"
"2-Seater Sofa","兩座位梳化"
"Trimming Machine","修邊機"
"Collating Machine","文件整理機"
"Electronic Calculator","電動計算機"
"Turf Tractor","草坪拖拉機連捲筒割草器及拖拉墊"
"Phonic Mixer","混音器"
"Portable Keyboard","數碼鍵琴"
"Electric Guitar","電結他"
"Drum Set","套鼓"
"Front Opening Electric Ceramic Kiln","前揭式電陶瓷機"
"Apex Locator","根尖定位儀"
"Carbon Monoxide Monitor","一氧化碳監測儀"
"Video & Audio Student Booth System","視頻和音頻學生展位系統"
"Infrared Receiver","紅外線接收器"
"Polarizing Filter Kit","偏光鏡過濾套件"
"Recordable MiniDisc Walkman","微型光碟錄音播放機"
"Chain Saw","鏈鋸"
"Glockenspiel Mallet","鋼片琴棍"
"Mid Drum","中鼓"
"Cymbal Stand","鈸架"
"Sleigh Bell","馬鈴"
"Guiro","刮瓜"
"Snare Drum Stand","小鼓架"
"Xylophone Mallet","木琴棍"
"Cabinet","機櫃"
"Practice Chanter","練習笛"
"Cymbal","鈸"
"Cymbal Bag","鈸袋"
"Drum Pedal","鼓踏"
"Drum Stand","鼓架"
"Jazz Drum","爵士鼓"
"Dry Vacuum Cleaner","乾式吸塵機"
"Glockenspiel","鋼片琴"
"Wood Maracas","砂槌"
"Long Practice Chanter","練習笛"
"Digital Piano","電子琴"
"Instrumental Cases","樂器箱"
"Guitar Case","結他盒"
"Digital Recording Studio","數碼錄音器"
"Bass Cabinet","低音音箱"
"Walkie Talkie","對講機"
"Digital Video Recorder","數碼錄像機"
"Tuner","調音器"
"Network Media Player","網絡媒體播放器"
"Karaoke System","卡拉OK系統"
"Thermohygrometer","溫濕計"
"Thermocouple","溫度傳感器"
"Dustless Fume Hood","無管道式抽風櫃"
"Tube Mixer","試管混合器"
"Gas Chromatograph","氣相層析儀"
"Mass Spectrometer","質譜儀"
"Mass Spectrometer Detector Electronics","電子質量選擇檢測器"
"Mass Spectrometer Detector LAN Card","質譜儀檢測器網絡卡"
"Electronic Multiplier Ceramic Channel","電子倍增器陶瓷通道"
"Headspace Sampler","頂空進樣器"
"Solvent Pump","溶劑泵"
"Networking Switch","網絡交換器"
"Air Compressor","空氣壓缩機"
"Nitrogen Generator","制氮機"
"Nitrogen Regulator","氮氣調壓器"
"Electronic Crimper","電動捲蓋器"
"Electronic Decapper","電動除蓋器"
"Gas Regulator","氣體穩壓器"
"Control Module","控制器"
"Roller Mixer","滾動混合器"
"Microcentrifuge","微量高速離心機"
"Injector","注射器"
"Multi Analyzer","多樣分析儀"
"Circular Water Bath","循環水浴"
"Centrifuge Submersible Circulating Pump","小型潛水泵"
"Heating Mantle 1000 ml","1000毫升加熱器"
"Heating Mantle 250 ml","250毫升加熱器"
"Flameless Heat Gun","無焰加熱槍"
"Ultrasonic Cleaner","超聲波清洗機"
"Impression Material Mixer","印模材料混合機"
"Electric Pulp Vitality Tester","牙髓活力測試儀"
"Binder","活頁文件夾"
"L-Shape Office Desk","L型木辦工桌"
"Furnace Accessories Kit","高溫爐配件"
"Automatic Centrifuge Extractor","自動離心萃取機"
"Caliper","卡尺"
"Digital Caliper","電子卡尺"
"Stainless Steel Ventilation Cabinet","不銹鋼抽氣櫃"
"Thermometer Data Logger","溫度數據收集器"
"Interface Box with Indicator","接口盒連指示器"
"Stainless Steel Door","不銹鋼門"
"Stainless Steel Concrete Cube Dimension Jig for 150mm Size Cube","不銹鋼混凝土立方體尺寸量度夾具"
"Infrared Oven","紅外線焗爐"
"Digital Thermometer with External Sensor Probe","電子溫度計連外部傳感器探頭"
"Electronic Screen","電子屏幕"
"L-Shape Wooden Table","白色L型木桌"
"Table with Partition","枱連屏風"
"Global Positioning System","全球定位系統"
"Display Unit","顯示單元"
"Electronic Navigator Chart","電子航海圖"
"Toner Cartridge","碳粉匣"
"Drum Cartridge for C5005D","感光鼓組件"
"‘LECIA’ Combination Case","相機套件袋"
"Camera","相機機身連配件"
"Lens 35mm F2.8 for 'Nikon' F2-A","鏡頭 35mm F2.8"
"Lens Zoom 70-210 F3.5 'Angenieux' for 'Nikon'","鏡頭 70-210 F3.5"
"Schneider PC-super Angulon 28mm Lens for 'Nikon' System","廣角鏡 28mm"
"Hood for PC-super Angulon","廣角鏡頭蓋"
"One lot 13 items of Photographic equipment & accessories","13件攝影器材及配件"
"Illuminance Meter","照度計"
"Luminance Meter","亮度計"
"Dock","連接基座"
"CCTV","監察系統"
"Water Dispenser","水機"
"Telephone System with Telephone","電話系統連電話"
"Digital Main Unit","電話主機"
"3-Seat Sofa","三座位沙發"
"Telephone Mobile","手提電話"
"Cistern for Walltype Urinal 9 Litre","尿兜水箱9公升"
"Switch Fuse 100 AMP SP & N","電箱"
"Switch 32 AMP DP","電箱"
"Forklift","鏟車"
"Bracelet in Black Colour with Golden Colour Accessory","舊黑色手鐲連金色裝飾"
"Wrist Chain in Golden Colour","舊金色手鏈"
"Earrings in Blue Colour","舊藍色耳環"
"Earrings in Golden Colour with Flower","Shape"
"Earrings in Golden Colour with Two Flowers Shape","舊兩朵花形金色耳環"
"X-ray Films with Envelopes","X光片連封套"
"Laser X-ray Films with Envelopes","雷射X光片連封套"
"Mobile Phone with Battery","手提電話連電池"
"Mobile Phone with Battery and Charging Cable","手提電話連電池及充電線"
"Fuji Xerox 3428","空碳粉匣"
"Fuji Xerox 3435","空碳粉匣"
"Fuji Xerox CM315Z-C","空碳粉匣"
"Fuji Xerox CM315Z-K","空碳粉匣"
"Fuji Xerox M355 df","空碳粉匣"
"Fuji Xerox M375 df","空碳粉匣"
"HP CF280A","空碳粉匣"
"Kyocera 1167","空碳粉匣"
"Kyocera TK 174","空碳粉匣"
"Kyocera TK 3104","空碳粉匣"
"Kyocera TK 5144C","空碳粉匣"
"Kyocera TK 5144K","空碳粉匣"
"Kyocera TK 5144M","空碳粉匣"
"Kyocera TK 5144Y","空碳粉匣"
"Kyocera TK 5277C","空碳粉匣"
"Kyocera TK 5277K","空碳粉匣"
"Kyocera TK 5277M","空碳粉匣"
"Kyocera TK 5277Y","空碳粉匣"
"Kyocera TK 5287Y","空碳粉匣"
"Kyocera TK 7019","空碳粉匣"
"Kyocera TK5264K","空碳粉匣"
"Kyocera TK5264M","空碳粉匣"
"Kyocera TK5264Y","空碳粉匣"
"Kyocera TK5287C","空碳粉匣"
"Kyocera TK5287K","空碳粉匣"
"Kyocera TK5287M","空碳粉匣"
"Panasonic UG 3390","空碳粉匣"
"Panasonic UG 3391","空碳粉匣"
"2-seater Sofa","二座位梳化"
"Office Partition - 1100mm","間隔板"
"High Back Chair","高背椅"
"Conference Table - 1500mm","會議檯"
"Magnetic Whiteboard - 240cm","磁性白板"
"Conference Table - 3000mm","會議檯"
"Steel Storage Rack - 920mm","儲存櫃"
"Hi-fi System","音響系統"
"Mosquito Killer Lamp","滅蚊燈"
"Sticky Trap Lamp","粘捕式滅蟲燈"
"Light Box","燈箱"
"Portable Mini Disc Recorder","便攜式微型光碟錄音機"
"Portable Solid State Recorder","便攜式固態錄音機"
"16 Channel Audio Mixer","16聲道混音器"
"Hard Disk Optical Disc Recorder","硬碟光碟錄影機"
"Video Routing Switcher","視頻切換器"
"Mini Disc Recorder / Player","微型光碟錄音機/播放器"
"Camera with Accessories","相機連配件"
"Dryer","乾衣機"
"Commercial Carpet Cleaning Machine","地毯清潔機"
"Video Projector with Projector Protective Frame","視頻投影機連投影機護架"
"Video Digital Processing Unit","視頻數據電腦板"
"Crosshairs Generator","瞄準主機板"
"Infrared-illumination Mini Firing Range Sensor","迷你射程紅外線感應器"
"Mini Firing Range Sensor Display","迷你靶場感應器顯示屏"
"Observation Lens","觀察鏡頭"
"Shot Detection Camera","射擊感應器鏡頭"
"Picture-in-picture Display Unit","畫中畫顯示器"
"Training Observation Recorder","觀察訓練錄影器"
"Wet & Dry Vacuum Cleaner","乾濕兩用吸水機"
"Wet & Dry Vacuum Motor Pump","乾濕兩用真空吸水泵"
"Spectrophotometer","紫外光/可見光光譜儀"
"Colony Counter","菌落計數器"
"Hot Plate","電熱板"
"Waterloss Probe","水份流失探頭"
"3D Food Printer","3D食物打印機"
"Office Chair with Castors","辦公室椅"
"Foldable Table with Castors","摺檯"
"Autoclave","消毒柜"
"Video Handycam Recorder","手提攝錄機"
"Hand Pallet Truck","手動唧車"
"Personal Digital Assistant","掌上型電腦"
"Light Curing Unit","光固化機"
"Ultrasonic Cleaner Unit","超聲波清洗機"
"Dental Handpiece","口腔牙鑚"
"Dental Handpiece Spare Part","口腔牙鑚配件"
"Recordable Mini Disc Walkman","錄音迷你碟隨身聽"
"Digital Camcorder","手提攝錄機"
"Bellows Focusing Attachment","風琴式轉接器"
"Repro-Copy Outfit","翻拍架"
"Network Switch","網絡切換器"
"Fibreglass Ladder","三級玻璃纖維梯"
"Fibreglass Ladder","五級玻璃纖維梯"
"Castor Kit","腳轆套件"
"Multifunction Tester","多功能測試儀"
"Cordless Drill Driver","無線電鑽驅動器"
"Digital Camera Recorder","數碼攝錄機"
"Front Loading 550rpm Washing Machine","前置式550轉洗衣機"
"High Pressure Pump","高壓泵"
"Hazardous Dust Vacuum Cleaner","有害粉塵吸塵器"
"Jet Cleaner","噴氣清潔器"
"Welding Machine","焊接機"
"Electrical Welder","電焊機"
"Submersible Water Pump 5.5KW","潛水泵"
"Wet/Dry Vacuum Cleaner","乾濕兩用吸塵器"
"Portable Vacuum Pump","便攜式真空泵"
"Film Camera with Remote Control","菲林相機連遙控"
"Copying Machine","複印機"
"Ohm & Voltmeter","歐姆電壓表"
"Temperature and Humidity Dew Point Recorder","溫濕度露點記錄儀"
"Cleaning Machine","清洗機"
"Radio Transceiver","對講機"
"Camera Grip","相機手柄"
"Camera Filter","相機濾鏡"
"Camera Flash","相機閃光燈"
"Prosthetic Hand","訓練用假手臂"
"Steel Box","鋼箱"
"Water Dispenser","冷熱飲水機"
"Electric Hot & Cold Water Dispenser","電冷熱飲水機"
"Semiautomatic Defibrillator","半自動除顫器"
"Gas Cooker","石油氣爐"
"Electric Infrared Heater","電暖燈"
"Banknote Counter","點鈔機"
"Air Blower","吹風機"
"Rowing Machine","划艇機"
"Defibrillator","心臟除顫器"
"3-Speed Floor Dryer","三段速吹風機"
"Mosquito Trap","滅蚊機"
"Shoe Polishing Machine","擦鞋機"
"Used 20' Container","舊二十呎貨櫃"
"Printed Circuit Board","印刷電路板"
"Video Printed Circuit Board","視頻印刷電路板"
"Component Video Cable","色差訊號線"
"Slide Viewer","幻燈片閱讀器"
"LCD Monitor and Keyboard Drawer","液晶顯示器連抽屜式控制台"
"Adjustable Monitor Arm","顯示器旋臂"
"Hydraulic Drill","液壓鑽"
"Computer Monitor Test Pattern Generator","電腦顯示器測試儀"
"Sunglasses","太陽眼鏡"
"External Harddisk","外置硬盤"
"Mobile Oxygen Supply Trolley","流動供氧氣手推車"
"Mobile Tripod Lifting system","流動起重三腳架"
"Oxygen Regulator","氧氣調節器"
"Acetylene Regulator","乙炔氣調節器"
"Oxyacetylene Welding And Cutting Outfit","氧乙炔焊割器"
"Oxyacetylene Welding Equipment","氧乙炔焊接器"
"3""- 4"" Plane Jaw Vice","3""- 4""平口虎鉗"
"Hand Trolley for Twin Gas Cylinder","雙氣瓶手推車"
"Iron Slice Utility Pack","生鐵切割器"
"Aluminium Scaffolds","鋁架工作平臺"
"Adjustable Gantry Crane","可調較起重工字架"
"Nitrogen Regulator","氮氣調節器"
"1"" Bow Shackle","1""弓型塞古"
"3/4"" Bow Shackle","3/4""弓型塞古"
"1/2"" Bow Shackle","1/2""弓型塞古"
"4-metre Steel Wire","4米吊重鋼索"
